Состояние системы: Количество мёда: 5, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 5, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 6, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 7, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 8, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 9, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 9, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 10, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 11, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 11, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 12, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 1, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 1, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 13, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 14, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Да
Состояние системы: Количество мёда: 14, Пчёл-сборщиков: 9, Пчёл-охранников: 4, Медведь спит: Да
Состояние системы: Количество мёда: 15, Пчёл-сборщиков: 10, Пчёл-охранников: 3, Медведь спит: Нет
Состояние системы: Количество мёда: 0, Пчёл-сборщиков: 11, Пчёл-охранников: 2, Медведь спит: Да

Не-е-е-е-ет, шустрый медведь всё-таки украл мёд!
