Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Мёд украден. Количество мёда: 0, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 0, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 6, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 7, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 7, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 9, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 15, Пчёл-охранников: 5
